time,screen,pupil,subject_id,stimulus_id,pixel
2363591,stimulus_Lit_NorthWind_7_page_1,1622.0,7,practice2,107.9
2363593,stimulus_Lit_NorthWind_7_page_1,1621.0,7,practice2,77.3
2363593,stimulus_Lit_NorthWind_7_page_1,1621.0,7,practice2,107.9
2363595,stimulus_Lit_NorthWind_7_page_1,1622.0,7,practice2,76.8
2363595,stimulus_Lit_NorthWind_7_page_1,1622.0,7,practice2,107.9
2363597,stimulus_Lit_NorthWind_7_page_1,1627.0,7,practice2,76.7
2363597,stimulus_Lit_NorthWind_7_page_1,1627.0,7,practice2,107.9
2363599,stimulus_Lit_NorthWind_7_page_1,1629.0,7,practice2,77.0
2363599,stimulus_Lit_NorthWind_7_page_1,1629.0,7,practice2,107.2
2363601,stimulus_Lit_NorthWind_7_page_1,1626.0,7,practice2,76.9
2363601,stimulus_Lit_NorthWind_7_page_1,1626.0,7,practice2,107.2
2363603,stimulus_Lit_NorthWind_7_page_1,1623.0,7,practice2,76.5
2363603,stimulus_Lit_NorthWind_7_page_1,1623.0,7,practice2,107.5
2363605,stimulus_Lit_NorthWind_7_page_1,1625.0,7,practice2,76.7
2363605,stimulus_Lit_NorthWind_7_page_1,1625.0,7,practice2,106.8
2363607,stimulus_Lit_NorthWind_7_page_1,1627.0,7,practice2,76.8
2363607,stimulus_Lit_NorthWind_7_page_1,1627.0,7,practice2,106.6
2363609,stimulus_Lit_NorthWind_7_page_1,1624.0,7,practice2,76.7
2363609,stimulus_Lit_NorthWind_7_page_1,1624.0,7,practice2,107.1
2363611,stimulus_Lit_NorthWind_7_page_1,1621.0,7,practice2,76.5
2363611,stimulus_Lit_NorthWind_7_page_1,1621.0,7,practice2,107.6
2363613,stimulus_Lit_NorthWind_7_page_1,1619.0,7,practice2,76.8
2363613,stimulus_Lit_NorthWind_7_page_1,1619.0,7,practice2,107.5
2363615,stimulus_Lit_NorthWind_7_page_1,1623.0,7,practice2,76.8
2363615,stimulus_Lit_NorthWind_7_page_1,1623.0,7,practice2,107.5
2363617,stimulus_Lit_NorthWind_7_page_1,1629.0,7,practice2,76.5
2363617,stimulus_Lit_NorthWind_7_page_1,1629.0,7,practice2,107.4
2363619,stimulus_Lit_NorthWind_7_page_1,1633.0,7,practice2,76.7
2363619,stimulus_Lit_NorthWind_7_page_1,1633.0,7,practice2,107.4
2363621,stimulus_Lit_NorthWind_7_page_1,1634.0,7,practice2,76.8
2363621,stimulus_Lit_NorthWind_7_page_1,1634.0,7,practice2,107.2
2363623,stimulus_Lit_NorthWind_7_page_1,1628.0,7,practice2,76.9
2363623,stimulus_Lit_NorthWind_7_page_1,1628.0,7,practice2,107.0
2363625,stimulus_Lit_NorthWind_7_page_1,1628.0,7,practice2,77.0
2363625,stimulus_Lit_NorthWind_7_page_1,1628.0,7,practice2,106.9
2363627,stimulus_Lit_NorthWind_7_page_1,1632.0,7,practice2,76.9
2363627,stimulus_Lit_NorthWind_7_page_1,1632.0,7,practice2,106.7
2363629,stimulus_Lit_NorthWind_7_page_1,1632.0,7,practice2,76.8
